    ,Meal_Id    ,Name                                                                          ,catagory    ,description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Veg_Non ,Nutrient      ,Disease                                                                                                               ,Diet                                                                                                                                                                                    ,Price
243 ,meal_id190 ,bread chana basket                                                            ,bread       ,"bread (white/brown), butter, for chana chaat:, chana, onion, tomatoes, cumin seeds, ginger garlic paste, chilli powder, chana masala, turmeric powder , oil, salt"                                                                                                                                                                                                                                                                                                                                                                                                     ,veg     ,chloride      ,heart_disease                                                                                                         ,dash_diet Mediterranean_diet                                                                                                                                                            ,  600
244 ,meal_id191 ,spaghetti with clams &amp; crispy bread crumbs                                ,bread       ,"panko, 1/4 cup plus 1 tablespoon extra-virgin olive oil, plus more for drizzling, kosher salt, freshly ground pepper,  garlic cloves,  manila clams or cockles, scrubbed, dry white wine,  spaghetti,  lemon zest,  lemon juice,  mullet bottarga (optional; see note),   red pepper,  thyme,  rosemary,  parsley"                                                                                                                                                                                                                                                     ,veg     ,iron          ,heart_disease                                                                                                         ,low_fat_diet Mediterranean_diet ketogenic_diet vegan_diet high_fiber_diet dash_diet                                                                                                     ,  540
245 ,meal_id192 ,kasha bread                                                                   ,bread       ,"kasha, boiling water, buckwheat flour, all-purpose gluten free flour, brown sugar, baking powder, baking soda, xanthum gum, salt, buttermilk, cream, egg, oil, walnuts"                                                                                                                                                                                                                                                                                                                                                                                                ,veg     ,selenium      ,heart_disease                                                                                                         ,low_fat_diet Mediterranean_diet ketogenic_diet vegan_diet dash_diet                                                                                                                     ,  525
246 ,meal_id193 ,egg paratha                                                                   ,bread       ,"whole wheat flour, salt, oil, eggs, onions, green chilli, coriander leaves, garam masala"                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,non-veg ,vitamin_a     ,hypertension rickets goitre kidney_disease pregnancy diabeties                                                        ,low_sodium_diet high_protien_diet low_fat_diet ketogenic_diet                                                                                                                           ,  375
247 ,meal_id194 ,egg and cheddar cheese sandwich                                               ,bread       ,"egg, salt, pepper, ham slices, basil leaves"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,non-veg ,vitamin_a     ,pregnancy hypertension eye_disease rickets goitre kidney_disease obesity diabeties                                    ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_protien_diet dash_diet                                                                                        ,  585
248 ,meal_id195 ,egg in a blanket                                                              ,bread       ,"eggs, brown bread slices, butter, chilli flakes, oregano, salt"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,non-veg ,vitamin_a     ,hypertension rickets goitre kidney_disease pregnancy diabeties                                                        ,low_sodium_diet high_protien_diet low_fat_diet ketogenic_diet                                                                                                                           ,  235
249 ,meal_id196 ,bread dahi vada                                                               ,bread       ,"bread slices, curd, oil, salt and black pepper , red chilli powder, aamchoor powder, mint leaves, zeera powder, anardana"                                                                                                                                                                                                                                                                                                                                                                                                                                              ,veg     ,chloride      ,heart_disease                                                                                                         ,dash_diet Mediterranean_diet                                                                                                                                                            ,  450
250 ,meal_id197 ,cheese and avocado parantha                                                   ,bread       ,"Wheat flour, Kasuri methi, water, olive oil, avocado, mozzarella cheese, pizza seasoning, ghee, salt."                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,veg     ,calcium       ,obesity eye_disease heart_disease                                                                                     ,alkaline_diet low_fat_diet paleo_diet Mediterranean_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet high_protien_diet dash_diet                                          ,  235
251 ,meal_id198 ,bread with tomatoes and olives                                                ,bread       ,"French Bread Loaf, Tomato, Extra Virgin Olive Oil, Salt, Pepper, Parsley, Stuffed Green Olives"                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,veg     ,vitamin_c     ,cancer heart_disease                                                                                                  ,Mediterranean_diet ketogenic_diet high_fiber_diet high_protien_diet dash_diet                                                                                                           ,  435
252 ,meal_id43  ,beetroot modak                                                                ,modak       ,"gram flour (besan), semolina (rava/sooji), beetroot colour or two oven cooked beetroot paste , water, oil (for frying), for sugar syrup:, sugar, water, cardamom powder, lemon juice, cashews (kaju)"                                                                                                                                                                                                                                                                                                                                                                  ,veg     ,selenium      ,hypertension                                                                                                          ,vegan_diet low_fat_diet ketogenic_diet                                                                                                                                                  ,  485
253 ,meal_id62  ,active charcoal modak                                                         ,modak       ,"for modak:, gram flour (besan), semolina (rava/suji), active charcoal, water, oil (for frying), sugar, water, cardamom powder, lemon juice, cashews (kaju)"                                                                                                                                                                                                                                                                                                                                                                                                            ,veg     ,selenium      ,obesity diabeties                                                                                                     ,vegan_diet low_fat_diet ketogenic_diet hormone_diet                                                                                                                                     ,  375
254 ,meal_id63  ,flax seed and beetroot modak                                                  ,modak       ,"rice flour, salt, oil (for greasing), beetroot puree, tossed flax seeds (for topping), fresh coconut, jaggery, poppy seeds, green cardamom powder, nutmeg powder"                                                                                                                                                                                                                                                                                                                                                                                                      ,veg     ,magnesium     ,goitre hypertension heart_disease                                                                                     ,high_protien_diet vegan_diet high_fiber_diet                                                                                                                                            ,  315
256 ,meal_id64  ,chocolate prunes gujiyas                                                      ,chocolate   ,"for gujiya pastry:, refined flour, ghee, water, salt, for gujiya stuffing:, dark chocolate, prunes, mawa, sugar, cardamom"                                                                                                                                                                                                                                                                                                                                                                                                                                             ,veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,  475
257 ,meal_id65  ,almond &amp; white chocolate gujiya                                           ,gujiya      ,"all-purpose flour, clarified butter (ghee), water, white chocolate, dessicated coconut, green cardamom powder, almond, jaggery"                                                                                                                                                                                                                                                                                                                                                                                                                                        ,veg     ,magnesium     ,anemia hypertension scurvy heart_disease rickets kidney_disease obesity                                               ,low_fat_diet omni_diet ketogenic_diet gluten_free_diet high_fiber_diet hormone_diet high_protien_diet                                                                                   ,  255
259 ,meal_id51  ,christmas chocolate fudge cookies                                             ,cookie      ,"unsalted butter, brown sugar, chocolate, chocolate chips, eggs, flour, cocoa powder, baking powder"                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,  655
261 ,meal_id53  ,chocolate appo                                                                ,chocolate   ,"rice, coconut, baking powder, vanilla extract, cinnamon powder, brown sugar, unsweetened cocoa powder, salt, chocolate chips, butter"                                                                                                                                                                                                                                                                                                                                                                                                                                  ,veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,  250
262 ,meal_id163 ,red rice vermicelli kheer                                                     ,kheer       ,"red rice vermicelli / broken sooji / semolina vermicelli, butter, almonds, whole milk, cardamom powder, saffron strands / thread, sugar"                                                                                                                                                                                                                                                                                                                                                                                                                               ,veg     ,carbohydrates ,anemia pregnancy cancer scurvy kidney_disease obesity diabeties                                                       ,alkaline_diet ketogenic_diet vegan_diet high_protien_diet dash_diet                                                                                                                     ,  340
263 ,meal_id18  ,grilled almond barfi (sugar free)                                             ,barfi       ,"khoya, sweetener (optional), almonds (crushed)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,veg     ,calcium       ,goitre hypertension                                                                                                   ,low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet                                                                                                               ,  575
264 ,meal_id200 ,chocolate kaju katli                                                          ,kaju        ,"cashew nuts, sugar, water, milk chocolate or dark chocolate"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,veg     ,vitamin_d     ,hypertension heart_disease                                                                                            ,high_fiber_diet ketogenic_diet                                                                                                                                                          ,  665
265 ,meal_id56  ,chocolate samosa                                                              ,samosa      ,"refined flour, desi ghee, black cardamom seeds, chocolate flutter_block, almonds, cashew nuts, pistachio, sugar, garam masala powder, oil"                                                                                                                                                                                                                                                                                                                                                                                                                                     ,veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,  330
266 ,meal_id201 ,mix fruit laccha rabri tortilla crunch                                        ,rabri       ,"milk, sugar, cardamom powder, saffron, almonds and pistachios, grapes, apple, kiwi, orange, pomegranate, mint leaves, tortilla sheet, oil"                                                                                                                                                                                                                                                                                                                                                                                                                             ,veg     ,calcium       ,pregnancy hypertension scurvy heart_disease eye_disease obesity diabeties                                             ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet                                                                     ,  225
267 ,meal_id21  ,apple rabdi                                                                   ,rabdi       ,"apples, milk, sugar, green cardamoms, almonds (blanched), pistachios (blanched)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,veg     ,calcium       ,obesity diabeties                                                                                                     ,high_protien_diet vegan_diet low_fat_diet ketogenic_diet                                                                                                                                ,  495
268 ,meal_id23  ,dates and nuts ladoo                                                          ,ladoo       ,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)"                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,veg     ,vitamin_e     ,anemia cancer heart_disease kidney_disease obesity diabeties                                                          ,alkaline_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet dash_diet                                                                            ,  400
269 ,meal_id24  ,green lentil dessert fudge                                                    ,dessert     ,"whole moong beans, cow ghee, raisins, whole milk, jaggery (organic), ground cardamom, almonds (halved)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,veg     ,calcium       ,anemia hypertension scurvy heart_disease goitre kidney_disease pregnancy diabeties                                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet                                                                           ,  265
270 ,meal_id202 ,pista chocolate &amp; mandarin                                                ,chocolate   ,"Pistachios, milk, sugar, broken rice, green cardamom, white chocolate, milk, egg yolk, whipped cream, vanilla pod, mandarins, sugar, water"                                                                                                                                                                                                                                                                                                                                                                                                                            ,veg     ,magnesium     ,scurvy hypertension heart_disease                                                                                     ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,  370
271 ,meal_id69  ,banana and maple ice lollies                                                  ,banana      ,"Bananas, Greek Yogurt, Heavy Cream, Pure Maple Syrup, Coconut"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,veg     ,selenium      ,hypertension                                                                                                          ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet dash_diet                                                                                                          ,  485
272 ,meal_id203 ,banana and chia tea cake                                                      ,cake        ,"Banana, caster sugar, flour, oil, milk, eggs, baking soda, flax seeds, almond flakes, chia seeds"                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,veg     ,potassium     ,hypertension heart_disease goitre obesity diabeties                                                                   ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet                                                                                     ,  290
273 ,meal_id204 ,chocolate and almond rum ball h                                               ,almond      ,"Chocolate Sponge Eggless, Dark Chocolate, Single Cream, Almonds, Caster Sugar, Instant Coffee Powder, Dark Rum"                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet gluten_free_diet                                                                                                                       ,  255
274 ,meal_id25  ,cashew nut cookies                                                            ,cookie      ,"Cashew Paste, Ghee, Sugar, Flax or Chia Seeds, Baking Soda, Baking Powder, Vanilla, Oats, Maida Organic"                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,veg     ,protien       ,hypertension                                                                                                          ,high_protien_diet vegan_diet dash_diet ketogenic_diet                                                                                                                                   ,  645
276 ,meal_id206 ,chocolate doughnut                                                            ,chocolate   ,"Sugar, egg yolk, egg, butter, yeast, milk"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,veg     ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,  585
277 ,meal_id207 ,spiced almond banana jaggery cake                                             ,cake        ,"Butter, cinnamon jaggery powder, nutmeg (ground), almonds, sugar, eggs, orange peel, banana, flour, baking soda, baking powder, salt, buttermilk, ground cinnamon"                                                                                                                                                                                                                                                                                                                                                                                                     ,veg     ,potassium     ,hypertension                                                                                                          ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet gluten_free_diet                                                                                                   ,  545
278 ,meal_id208 ,fennel scented sweet banana fritters                                          ,banana      ,"Wheat flour, ka, jaggery, milk or water, ghee or oil"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,veg     ,selenium      ,hypertension scurvy goitre kidney_disease pregnancy                                                                   ,alkaline_diet low_fat_diet paleo_diet Mediterranean_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet dash_diet                                                            ,  650
279 ,meal_id209 ,camel milk cake tart                                                          ,cake        ,"Camel Milk, Sugar, Vinegar, Butter, Brown Sugar, Flour, Eggs"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,veg     ,vitamin_d     ,cancer hypertension kidney_disease rickets                                                                            ,low_fat_diet ketogenic_diet high_fiber_diet high_protien_diet dash_diet                                                                                                                 ,  580
280 ,meal_id210 ,quinoa coconut crumble custard                                                ,coconut     ,"Quinoa (cooked), oats, cinnamon powder, salt, brown sugar or jaggery, nuts, coconut flakes, eggs, quinoa, coconut milk, maple syrup, vanilla extract, cinnamon powder, salt, honey"                                                                                                                                                                                                                                                                                                                                                                                    ,veg     ,protien       ,obesity pregnancy hypertension goitre                                                                                 ,paleo_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet dash_diet                                                                                         ,  375
283 ,meal_id136 ,malabari fish curry                                                           ,curry       ,"sear fish, coconut, ginger, pureed tamarind, salt, powdered turmeric, green chillies, red chilli powder, shallots"                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,  665
285 ,meal_id2   ,chicken minced salad                                                          ,salad       ,"olive oil, chicken mince, garlic (minced), onion, salt, black pepper, carrot, cabbage, green onions, sweet chilli sauce, peanut butter, ginger, soy sauce, fresh cilantro, red pepper flakes (crushed), tarts"                                                                                                                                                                                                                                                                                                                                                         ,non-veg ,fiber         ,anemia pregnancy hypertension rickets goitre kidney_disease obesity                                                   ,low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                                         ,  500
288 ,meal_id65  ,almond &amp; white chocolate gujiya                                           ,gujiya      ,"all-purpose flour, clarified butter (ghee), water, white chocolate, dessicated coconut, green cardamom powder, almond, jaggery"                                                                                                                                                                                                                                                                                                                                                                                                                                        ,veg     ,magnesium     ,anemia hypertension scurvy heart_disease rickets kidney_disease obesity                                               ,low_fat_diet omni_diet ketogenic_diet gluten_free_diet high_fiber_diet hormone_diet high_protien_diet                                                                                   ,  550
290 ,meal_id48  ,almond and chicken momos (without shell)                                      ,chicken     ,"chicken mince, garlic, carrots, spring onion, ginger, soya sauce, oyster sauce, sesame oil, pepper powder, egg, almonds (blanched), oil (for greasing)"                                                                                                                                                                                                                                                                                                                                                                                                                ,non-veg ,calcium       ,anemia hypertension rickets goitre kidney_disease pregnancy                                                           ,low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                        ,  460
291 ,meal_id213 ,berry parfait hazelnut white chocolate sable                                  ,chocolate   ,"for berry parfait:, egg yolk, caster sugar, berry puree, cream cheese, double cream, for hazelnut streusel:, ground hazelnut, flour, caster sugar, butter, for hazelnut white chocolate pressed sable:, hazelnut streusel, cocoa butter, puffed rice, clarified butter, melted white chocolate, for flexy berry:, raspberry puree, sugar, liquid glucose, pectin"                                                                                                                                                                                                      ,veg     ,vitamin_a     ,anemia hypertension scurvy heart_disease rickets kidney_disease obesity                                               ,low_fat_diet omni_diet ketogenic_diet high_fiber_diet hormone_diet high_protien_diet                                                                                                    ,  250
293 ,meal_id137 ,portugese fish stew                                                           ,fish        ,"sole fillet (you can also do 2/3 types of fish), large shrimps (optional), potatoes (peeled), onions (cut into slices), garlic cloves, red capsicum (can use green also), parsley or coriander (choose the herb that most suits your taste buds), few dashes of hot sauce, paprika, olive oil, white wine, rock salt"                                                                                                                                                                                                                                                  ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,  465
296 ,meal_id215 ,mixed vegetable soup                                                          ,soup        ,"Mix Vegetables (Tomatoes, Carrots, Peas and French Beans), Salt, Cumin Powder, Oil, Curry Leaves"                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,veg     ,sodium        ,scurvy heart_disease kidney_disease obesity diabeties                                                                 ,alkaline_diet low_fat_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet dash_diet                                                                      ,  315
299 ,meal_id213 ,berry parfait hazelnut white chocolate sable                                  ,chocolate   ,"for berry parfait:, egg yolk, caster sugar, berry puree, cream cheese, double cream, for hazelnut streusel:, ground hazelnut, flour, caster sugar, butter, for hazelnut white chocolate pressed sable:, hazelnut streusel, cocoa butter, puffed rice, clarified butter, melted white chocolate, for flexy berry:, raspberry puree, sugar, liquid glucose, pectin"                                                                                                                                                                                                      ,veg     ,vitamin_a     ,anemia hypertension scurvy heart_disease rickets kidney_disease obesity                                               ,low_fat_diet omni_diet ketogenic_diet high_fiber_diet hormone_diet high_protien_diet                                                                                                    ,  340
302 ,meal_id216 ,duo of chocolate and strawberry                                               ,strawberry  ,"dark chocolate, white chocolate, strawberries"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,veg     ,vitamin_c     ,scurvy hypertension heart_disease                                                                                     ,high_fiber_diet ketogenic_diet                                                                                                                                                          ,  220
303 ,meal_id217 ,mustard-parmesan whole roasted cauliflower                                    ,roasted     ,"cauliflowers, garlic, halved, olive oil , dijon mustard , kosher salt , freshly ground black pepper , fresh parsley leaves, parmesan , lemon wedges"                                                                                                                                                                                                                                                                                                                                                                                                                   ,veg     ,chloride      ,cancer hypertension kidney_disease                                                                                    ,alkaline_diet ketogenic_diet vegan_diet high_protien_diet dash_diet                                                                                                                     ,  510
304 ,meal_id218 ,hassel back sweet potatoes                                                    ,vanilla     ,"sweet potatoes, butter, brown sugar, pure vanilla extract, ground cinnamon, himalayan pink salt / rock salt"                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,veg     ,chloride      ,pregnancy hypertension scurvy goitre kidney_disease obesity                                                           ,alkaline_diet low_fat_diet omni_diet paleo_diet Mediterranean_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet                                                          ,  655
305 ,meal_id74  ,slow cooked spiced sangria                                                    ,sangria     ,"red wine (merlot / zinfandel), apple cider, honey, orange (zested and juiced), cloves (whole), green cardamom, cinnamon sticks, anise (whole), brandy"                                                                                                                                                                                                                                                                                                                                                                                                                 ,veg     ,iron          ,anemia pregnancy scurvy heart_disease goitre kidney_disease obesity diabeties                                         ,vegan_diet low_fat_diet high_fiber_diet ketogenic_diet                                                                                                                                  ,  240
